Wavelength Intensity
669.871 2745.24
669.826 2764.86
669.782 2754.4
669.737 2806.59
669.692 2756.04
669.647 2735.57
669.603 2680.04
669.558 2812.34
669.513 2766.83
669.468 2738.86
669.423 2650.82
669.379 2808.07
669.334 2720.05
669.289 2694.6
669.244 2709.19
669.2 2701.26
669.155 2710.84
669.11 2732.91
669.065 2754.98
669.021 2712.06
668.976 2754.12
668.931 2721.2
668.886 2795.72
668.842 2705.35
668.797 2699.93
668.752 2861.83
668.707 2856.38
668.662 2890.89
668.618 2753.15
668.573 2802.63
668.528 2752.28
668.483 2726.9
668.439 2699.03
668.394 2745.99
668.349 2623.37
668.304 2690.28
668.259 2632.52
668.215 2761.71
668.17 2786.2
668.125 2676.12
668.08 2703.11
668.035 2737.56
667.991 2714.71
667.946 2661.99
667.901 2763.65
667.856 2713.43
667.811 2700.55
667.767 2729.99
667.722 2582.76
667.677 2686.84
667.632 2664.03
667.587 2683.51
667.543 2658.22
667.498 2712.5
667.453 2652.41
667.408 2721.58
667.363 2698.79
667.319 2611.415
667.274 2524.04
667.229 2642.87
667.184 2699.57
667.139 2731.43
667.095 2621.76
667.05 2641.2
667.005 2668.09
666.96 2724.74
666.915 2637.47
666.87 2704.04
666.826 2636.64
666.781 2670.94
666.736 2759.79
666.691 2630.43
666.646 2677.12
666.602 2639.52
666.557 2676.27
666.512 2616.39
666.467 2635.79
666.422 2551.16
666.377 2637.44
666.333 2649.4
666.288 2750.48
666.243 2549.55
666.198 2667.95
666.153 2588.34
666.108 2538.45
666.064 2637.0
666.019 2690.99
665.974 2688.1
665.929 2598.66
665.884 2674.89
665.839 2721.43
665.794 2594.96
665.75 2624.2
665.705 2685.55
665.66 2628.31
665.615 2600.73
665.57 2642.3
665.525 2570.28
665.481 2643.93
665.436 2539.85
665.391 2613.48
665.346 2659.95
665.301 2607.72
665.256 2659.11
665.211 2683.36
665.167 2562.1
665.122 2571.56
665.077 2546.5
665.032 2600.32
664.987 2553.09
664.942 2574.86
664.897 2544.89
664.853 2620.85
664.808 2664.77
664.763 2563.38
664.718 2602.37
664.673 2530.57
664.628 2601.55
664.583 2522.39
664.538 2605.65
664.494 2570.79
664.449 2622.04
664.404 2643.76
664.359 2621.21
664.314 2547.04
664.269 2642.51
664.224 2615.05
664.179 2553.21
664.135 2557.72
664.09 2559.77
664.045 2561.82
664.0 2703.85
663.955 2526.63
663.91 2592.52
663.865 2570.02
663.82 2537.7
663.775 2581.47
663.731 2527.09
663.686 2511.97
663.641 2548.36
663.596 2587.2
663.551 2518.13
663.506 2620.7
663.461 2627.64
663.416 2551.25
663.371 2590.05
663.326 2530.84
663.282 2493.69
663.237 2468.81
663.192 2448.83
663.147 2458.23
663.102 2452.95
663.057 2540.67
663.012 2625.93
662.967 2652.42
662.922 2512.55
662.877 2578.2
662.832 2462.84
662.788 2557.82
662.743 2542.75
662.698 2456.78
662.653 2497.95
662.608 2605.08
662.563 2475.16
662.518 2491.87
662.473 2479.26
662.428 2500.85
662.383 2529.76
662.338 2556.21
662.293 2467.93
662.248 2509.03
662.204 2520.83
662.159 2515.55
662.114 2441.97
662.069 2451.34
662.024 2531.43
661.979 2460.31
661.934 2542.81
661.889 2566.79
661.844 2515.2
661.799 2483.12
661.754 2485.16
661.709 2570.03
661.664 2603.72
661.619 2469.37
661.574 2386.19
661.53 2449.11
661.485 2497.4
661.44 2543.25
661.395 2494.18
661.35 2491.35
661.305 2471.49
661.26 2466.24
661.215 2473.14
661.17 2518.94
661.125 2506.39
661.08 2474.39
661.035 2415.67
660.99 2366.69
660.945 2444.06
660.9 2421.81
660.855 2433.57
660.81 2493.89
660.765 2420.66
660.72 2519.8
660.675 2453.87
660.63 2480.17
660.586 2387.58
660.541 2426.01
660.496 2481.42
660.451 2447.07
660.406 2386.06
660.361 2487.51
660.316 2382.88
660.271 2479.45
660.226 2474.2
660.181 2427.78
660.136 2437.08
660.091 2397.94
660.046 2329.75
660.001 2375.38
659.956 2445.21
659.911 2461.77
659.866 2461.38
659.821 2417.43
659.776 2388.01
659.731 2484.4
659.686 2454.98
659.641 2447.33
659.596 2347.81
659.551 2335.35
659.506 2436.49
659.461 2399.86
659.416 2397.06
659.371 2355.6
659.326 2461.52
659.281 2446.63
659.236 2359.31
659.191 2375.84
659.146 2365.8
659.101 2476.45
659.056 2480.89
659.011 2321.24
658.966 2424.61
658.921 2392.86
658.876 2351.48
658.831 2396.93
658.786 2466.46
658.741 2495.0
658.696 2333.11
658.651 2458.06
658.606 2452.85
658.561 2445.23
658.516 2358.1400000000003
658.471 2271.05
658.426 2403.12
658.381 2422.0
658.336 2395.14
658.291 2421.23
658.246 2351.06
658.201 2384.37
658.156 2335.88
658.111 2323.48
658.066 2344.75
658.021 2399.68
657.976 2425.74
657.931 2374.88
657.886 2362.48
657.841 2402.96
657.796 2340.11
657.751 2428.62
657.706 2394.6
657.661 2387.02
657.616 2425.05
657.571 2369.45
657.526 2412.28
657.481 2383.09
657.435 2327.53
657.39 2384.73
657.345 2295.6
657.3 2314.42
657.255 2376.4
657.21 2462.33
657.165 2315.71
657.12 2291.37
657.075 2391.66
657.03 2302.62
656.985 2340.59
656.94 2289.91
656.895 2397.32
656.85 2365.81
656.805 2336.7
656.76 2410.53
656.715 2374.25
656.67 2402.58
656.625 2397.41
656.58 2370.72
656.535 2298.58
656.49 2293.43
656.444 2362.41
656.399 2381.16
656.354 2239.75
656.309 2327.82
656.264 2262.93
656.219 2327.07
656.174 2343.42
656.129 2419.48
656.084 2321.18
656.039 2382.89
655.994 2365.8
655.949 2222.21
655.904 2257.65
655.859 2336.03
655.814 2309.42
655.768 2411.62
655.723 2301.52
655.678 2320.23
655.633 2358.01
655.588 2374.32
655.543 2319.12
655.498 2273.47
655.453 2373.18
655.408 2315.63
655.363 2389.5280000000002
655.318 2463.426
655.273 2537.324
655.228 2611.2219999999998
655.182 2685.12
655.137 2365.77
655.092 2324.93
655.047 2324.56
655.002 2359.87
654.957 2330.95
654.912 2349.61
654.867 2296.92
654.822 2303.68
654.777 2284.3
654.732 2224.52
654.686 2326.34
654.641 2549.3
654.596 2326.34
654.551 2326.34
654.506 2326.34
654.461 2191.52
654.416 2210.16
654.371 2356.97
654.326 2318.62
654.281 2346.72
654.235 2313.13
654.19 2255.83
654.145 2198.55
654.1 2304.91
654.055 2325.87
654.01 2292.31
653.965 2249.28
653.92 2329.5
653.875 2243.83
653.829 2297.95
653.784 2226.53
653.739 2256.96
653.694 2275.54
653.649 2289.38
653.604 2208.53
653.559 2250.78
653.514 2274.08
653.468 2242.96
653.423 2358.51
653.378 2223.32
653.333 2263.16
653.288 2234.43
653.243 2347.55
653.198 2195.89
653.153 2169.54
653.107 2237.72
653.062 2310.6
653.017 2227.55
652.972 2269.71
652.927 2307.13
652.882 2202.87
652.837 2268.62
652.791 2270.61
652.746 2164.05
652.701 2236.85
652.656 2238.85
652.611 2295.1
652.566 2235.78
652.521 2263.71
652.475 2268.07
652.43 2218.2
652.385 2144.78
652.34 2205.7
652.295 2309.02
652.25 2205.0
652.205 2270.59
652.159 2237.26
652.114 2189.81
652.069 2201.23
652.024 2163.21
651.979 2221.7
651.934 2120.16
651.888 2202.17
651.843 2166.53
651.798 2312.0
651.753 2219.92
651.708 2278.34
651.663 2280.33
651.617 2185.94
651.572 2223.19
651.527 2305.08
651.482 2180.19
651.437 2269.1
651.392 2247.6
651.346 2244.89
651.301 2251.57
651.256 2293.47
651.211 2302.49
651.166 2262.22
651.121 2200.85
651.075 2158.27
651.03 2286.93
650.985 2155.23
650.94 2290.89
650.895 2180.33
650.85 2161.23
650.804 2210.1
650.759 2275.35
650.714 2249.22
650.669 2171.55
650.624 2232.1
650.578 2201.29
650.533 2236.06
650.488 2181.86
650.443 2223.64
650.398 2157.75
650.352 2159.75
650.307 2203.85
650.262 2280.69
650.217 2235.88
650.172 2247.22
650.126 2267.9
650.081 2169.35
650.036 2154.98
649.991 2084.52
649.946 2182.32
649.9 2200.66
649.855 2181.62
649.81 2302.71
649.765 2218.28
649.72 2192.24
649.674 2201.22
649.629 2296.56
649.584 2223.85
649.539 2162.83
649.494 2120.49
649.448 2190.12
649.403 2234.08
649.358 2166.1
649.313 2184.4
649.268 2263.3
649.222 2183.7
649.177 2215.97
649.132 2178.34
649.087 2133.73
649.041 2198.59
648.996 2154.0
648.951 2179.26
648.906 2239.43
648.861 2199.51
648.815 2171.23
648.77 2249.99
648.725 2251.95
648.68 2219.02
648.634 2193.08
648.589 2143.9
648.544 2227.25
648.499 2085.09
648.453 2156.81
648.408 2191.31
648.363 2258.34
648.318 2158.67
648.273 2158.67
648.227 2158.67
648.182 2158.67
648.137 2158.67
648.092 2158.67
648.046 2216.34
648.001 2199.74
647.956 2243.46
647.911 2161.91
647.865 2140.69
647.82 2235.42
647.775 2197.96
647.73 2165.15
647.684 2206.52
647.639 2169.09
647.594 2115.45
647.549 2124.37
647.503 2239.84
647.458 2091.27
647.413 2081.67
647.368 2173.94
647.322 2245.34
647.277 2133.89
647.232 2179.82
647.187 2140.14
647.141 2246.21
647.096 2222.71
647.051 2183.04
647.005 2080.95
646.96 2203.14
646.915 2177.36
646.87 2209.36
646.824 2153.55
646.779 2139.34
646.734 2217.53
646.689 2201.01
646.643 2175.25
646.598 2094.09
646.553 2119.15
646.508 2153.42
646.462 2192.31
646.417 2168.88
646.372 2092.4
646.326 2172.79
646.281 2179.36
646.236 2204.37
646.191 2208.62
646.145 2265.89
646.1 2201.0
646.055 2219.07
646.009 2098.91
645.964 2183.8
645.919 2174.24
645.874 2160.07
645.828 2148.21
645.783 2140.95
645.738 2294.82
645.692 2181.68
645.647 2093.89
645.602 2118.86
645.556 2162.22
645.511 2138.87
645.466 2159.22
645.421 2158.87
645.375 2158.52
645.33 2105.31
645.285 2201.49
645.239 2249.38
645.194 2111.18
645.149 2188.93
645.103 2151.84
645.058 2169.86
645.013 2183.28
644.968 2150.79
644.922 2157.33
644.877 2138.62
644.832 2158.92
644.786 2238.86
644.741 2222.44
644.696 2231.26
644.65 2175.87
644.605 2157.17
644.56 2170.58
644.514 2128.98
644.469 2160.71
644.424 2190.14
644.378 2153.14
644.333 2116.14
644.288 2145.57
644.242 2117.75
644.197 2156.32
644.152 2142.24
644.106 2221.98
644.061 2166.71
644.016 2127.47
643.97 2088.24
643.925 2172.52
643.88 2147.01
643.834 2103.23
643.789 2137.17
643.744 2203.1
643.698 2166.19
643.653 2142.99
643.608 2083.25
643.562 2133.16
643.517 2139.66
643.472 2130.18
643.426 2088.75
643.381 2104.38
643.336 2133.71
643.29 2192.69
643.245 2169.52
643.2 2171.45
643.154 2141.45
643.109 2109.18
643.064 2101.99
643.018 2156.36
642.973 2160.57
642.928 2089.58
642.882 2112.02
642.837 2184.57
642.792 2104.5
642.746 2186.14
642.701 2051.45
642.655 2183.15
642.61 2150.93
642.565 2166.52
642.519 2166.16
642.474 2156.71
642.429 2179.11
642.383 2128.72
642.338 2132.92
642.293 2143.94
642.247 2104.95
642.202 2115.97
642.156 2140.62
642.111 2099.38
642.066 2069.51
642.02 2198.64
641.975 2034.77
641.93 2218.36
641.884 2118.11
641.839 2179.05
641.793 2133.3
641.748 2123.88
641.703 2123.53
641.657 2014.31
641.612 2143.26
641.567 2102.09
641.521 2138.02
641.476 2142.21
641.43 2089.73
641.385 2141.51
641.34 2177.42
641.294 2140.82
641.249 2133.67
641.203 2097.09
641.158 2083.16
641.113 2107.73
641.067 2218.3
641.022 2188.52
640.977 2163.27
640.931 2171.97
640.886 2128.63
640.84 2064.96
640.795 2100.8
640.75 2098.2
640.704 2093.34
640.659 2099.78
640.613 2083.62
640.568 2117.17
640.523 2098.75
640.477 2143.59
640.432 2131.95
640.386 2138.37
640.341 2167.37
640.295 2137.68
640.25 2141.84
640.205 2125.7
640.159 2141.14
640.114 2145.31
640.068 2115.64
640.023 2142.35
639.978 2155.53
639.932 2137.14
639.887 2134.54
639.841 2204.06
639.796 2165.39
639.751 2151.52
639.705 2133.15
639.66 2058.48
639.614 2103.18
639.569 2177.14
639.523 2161.02
639.478 2194.43
639.433 2153.57
639.387 2090.22
639.342 2184.36
639.296 2139.02
639.251 2118.43
639.205 2120.33
639.16 2153.71
639.115 2142.12
639.069 2182.22
639.024 2130.18
638.978 2147.81
638.933 2035.15
638.887 2151.6
638.842 2126.55
638.796 2189.07
638.751 2083.2
638.706 2134.49
638.66 2167.8
638.615 2140.52
638.569 2232.15
638.524 2079.26
638.478 2112.56
638.433 2177.24
638.387 2156.71
638.342 2178.77
638.297 2140.32
638.251 2119.8
638.206 2074.64
638.16 2110.15
638.115 2080.68
638.069 2136.33
638.024 2115.83
637.978 2077.43
637.933 2186.76
637.887 2123.74
637.842 2165.91
637.797 2134.23
637.751 2180.86
637.706 2099.99
637.66 2180.15
637.615 2182.02
637.569 2152.61
637.524 2150.02
637.478 2172.02
637.433 2156.02
637.387 2128.86
637.342 2119.58
637.296 2090.2
637.251 2136.75
637.205 2147.56
637.16 2115.96
637.115 2102.23
637.069 2177.75
637.024 2143.93
636.978 2243.95
636.933 2183.37
636.887 2169.63
636.842 2193.8
636.796 2233.57
636.751 2179.71
636.705 2221.69
636.66 2063.14
636.614 2140.77
636.569 2169.37
636.523 2135.62
636.478 2161.98
636.432 2119.33
636.387 2219.15
636.341 2209.88
636.296 2189.5
636.25 2149.09
636.205 2150.96
636.159 2103.91
636.114 2161.38
636.068 2143.24
636.023 2105.1
635.977 2162.54
635.932 2171.07
635.886 2148.5
635.841 2197.02
635.795 2256.63
635.75 2127.46
635.704 2264.77
635.659 2128.98
635.613 2070.92
635.568 2152.69
635.522 2210.03
635.477 2163.08
635.431 2118.36
635.386 2235.56
635.34 2181.97
635.295 2190.48
635.249 2163.52
635.204 2251.82
635.158 2147.3
635.113 2195.69
635.067 2168.75
635.022 2199.4
634.976 2205.69
634.931 2154.4
634.885 2160.69
634.84 2197.96
634.794 2082.52
634.748 2161.84
634.703 2141.57
634.657 2161.13
634.612 2202.79
634.566 2131.67
634.521 2142.38
634.475 2192.87
634.43 2170.4
634.384 2159.0
634.339 2187.37
634.293 2211.31
634.248 2193.28
634.202 2142.12
634.157 2137.36
634.111 2163.5
634.065 2189.63
